ph,salinity,moisture,tds,light,temperature,humidity,timestamp
422,866,40,1018,85,31.4,48,2023-09-27 3:37:24.100
423,866,38,1017,85,31.4,48,2023-09-27 3:37:28.100
422,865,39,1016,85,31.4,48,2023-09-27 3:37:32.100
424,865,39,1017,85,31.4,48,2023-09-27 3:37:36.100
422,866,37,1017,85,31.4,48,2023-09-27 3:37:40.100
421,869,37,1020,85,31.3,48,2023-09-27 3:37:44.100
421,866,38,1017,85,31.4,48,2023-09-27 3:37:48.100
421,865,37,1017,85,31.4,48,2023-09-27 3:37:52.100
422,866,35,1019,85,31.4,48,2023-09-27 3:37:56.100
423,865,37,1017,85,31.4,48,2023-09-27 3:38:00.100
420,869,34,1020,85,31.4,48,2023-09-27 3:38:04.100
419,867,35,1021,85,31.4,48,2023-09-27 3:38:08.100
421,868,36,1021,85,31.4,48,2023-09-27 3:38:12.100
423,869,35,1022,85,31.4,48,2023-09-27 3:38:16.100
422,865,39,1017,85,31.4,48,2023-09-27 3:38:20.100
422,864,38,1020,85,31.4,48,2023-09-27 3:38:24.100
421,868,37,1022,85,31.4,48,2023-09-27 3:38:28.100
421,870,36,1021,85,31.4,48,2023-09-27 3:38:32.100
421,868,36,1019,85,31.4,48,2023-09-27 3:38:36.100
420,869,37,1019,85,31.4,48,2023-09-27 3:38:40.100
422,866,37,1017,85,31.4,48,2023-09-27 3:38:44.100
421,869,36,1021,85,31.4,48,2023-09-27 3:38:48.100
422,867,35,1022,85,31.4,48,2023-09-27 3:38:52.100
420,870,37,1021,85,31.4,48,2023-09-27 3:38:56.100
422,865,38,1017,85,31.4,48,2023-09-27 3:39:00.100
423,866,38,1015,85,31.4,48,2023-09-27 3:39:04.100
422,866,38,1018,85,31.4,48,2023-09-27 3:39:08.100
421,868,38,1019,85,31.4,48,2023-09-27 3:39:12.100
421,869,37,1018,85,31.4,48,2023-09-27 3:39:16.100
421,868,35,1021,85,31.4,48,2023-09-27 3:39:20.100
423,866,40,1017,85,31.4,48,2023-09-27 3:39:24.100
420,867,33,1021,85,31.4,48,2023-09-27 3:39:28.100
423,865,37,1018,85,31.4,48,2023-09-27 3:39:32.100
424,866,39,1016,85,31.4,48,2023-09-27 3:39:36.100
419,867,35,1019,85,31.4,48,2023-09-27 3:39:40.100
421,865,37,1018,85,31.4,48,2023-09-27 3:39:44.100
422,866,38,1017,85,31.4,48,2023-09-27 3:39:48.100
420,867,35,1021,85,31.4,48,2023-09-27 3:39:52.100
421,869,34,1019,85,31.4,48,2023-09-27 3:39:56.100
421,867,37,1017,86,31.4,48,2023-09-27 3:40:00.100
423,867,37,1018,85,31.4,48,2023-09-27 3:40:04.100
421,865,38,1019,86,31.4,48,2023-09-27 3:40:08.100
424,866,38,1020,86,31.4,48,2023-09-27 3:40:12.100
422,867,36,1018,86,31.4,48,2023-09-27 3:40:16.100
423,868,36,1020,85,31.4,48,2023-09-27 3:40:20.100
422,865,38,1018,85,31.4,48,2023-09-27 3:40:24.100
420,868,34,1022,86,31.4,48,2023-09-27 3:40:28.100
422,866,38,1017,86,31.4,48,2023-09-27 3:40:32.100
421,868,36,1021,85,31.4,48,2023-09-27 3:40:36.100
420,869,36,1021,85,31.4,48,2023-09-27 3:40:40.100
422,867,35,1021,85,31.4,48,2023-09-27 3:40:44.100
419,869,34,1021,85,31.4,48,2023-09-27 3:40:48.100
420,869,34,1019,86,31.4,48,2023-09-27 3:40:52.100
420,869,36,1020,85,31.4,48,2023-09-27 3:40:56.100
423,868,38,1018,85,31.4,48,2023-09-27 3:41:00.100
423,865,37,1018,86,31.4,48,2023-09-27 3:41:04.100
421,865,39,1017,85,31.4,48,2023-09-27 3:41:08.100
420,869,36,1018,85,31.4,48,2023-09-27 3:41:12.100
422,867,36,1019,85,31.4,48,2023-09-27 3:41:16.100
422,865,38,1018,86,31.4,48,2023-09-27 3:41:20.100
423,867,39,1018,86,31.4,48,2023-09-27 3:41:24.100
422,866,37,1017,85,31.4,48,2023-09-27 3:41:28.100
422,865,37,1019,86,31.4,48,2023-09-27 3:41:32.100
421,868,39,1019,85,31.4,48,2023-09-27 3:41:36.100
421,867,37,1019,85,31.4,48,2023-09-27 3:41:40.100
421,867,35,1017,85,31.4,48,2023-09-27 3:41:44.100
423,864,38,1018,86,31.4,48,2023-09-27 3:41:48.100
421,866,37,1016,86,31.4,48,2023-09-27 3:41:52.100
421,865,37,1017,86,31.4,48,2023-09-27 3:41:56.100
420,867,35,1018,85,31.4,48,2023-09-27 3:42:00.100
422,868,36,1020,85,31.4,48,2023-09-27 3:42:04.100
422,865,40,1019,85,31.4,48,2023-09-27 3:42:08.100
421,865,37,1017,85,31.4,48,2023-09-27 3:42:12.100
423,867,37,1019,85,31.4,48,2023-09-27 3:42:16.100
420,869,35,1022,86,31.4,48,2023-09-27 3:42:20.100
